alert_id,timestamp,state,transition_from,flare_probability,anomaly_index,confidence_low,confidence_high,scenario,data_source,model_version,config_hash,data_hash,operator_notes,resolution_time,resolution_reason
0b111cff-5117-47a6-8623-4c77a99e1acc,2026-06-17T09:43:37.476774+00:00,WATCH,NORMAL → WATCH,1.0508005471495108e-06,100.0,8.232253590165708e-07,1.3352107814372424e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
0ab18e9c-1fdb-4026-ba11-37df5c19174c,2026-06-17T09:43:37.476880+00:00,WATCH,No change (WATCH),1.040417587541977e-06,96.53367010050843,8.238506199171887e-07,1.3233359952831605e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
42aeb274-348a-42d6-baed-904bd4f7fb57,2026-06-17T09:43:37.476962+00:00,WATCH,No change (WATCH),5.188080258065688e-06,93.16800593882871,3.957218963237661e-06,6.1855135465610155e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
a7ea171f-18f4-4ea7-acc7-5e0aa2fcc8ff,2026-06-17T09:43:37.477039+00:00,WATCH,No change (WATCH),3.2838723094033273e-06,72.63283814889105,2.353340439275705e-06,4.273756542727853e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
4c7488c8-ab70-4c62-8790-7fb1e93622c2,2026-06-17T09:43:37.477114+00:00,WATCH,No change (WATCH),9.989387340985457e-07,46.70246940848156,7.785652230752173e-07,1.2458393138424899e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
a2f5c6b9-fc51-4d95-8ebc-200fddce96fb,2026-06-17T09:43:37.477189+00:00,NORMAL,WATCH → NORMAL,9.70895432577781e-07,30.928018657743944,7.828453098685681e-07,1.1044753416325756e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
04351834-9827-46a7-a90d-2fed8a41cb8a,2026-06-17T09:43:37.477263+00:00,NORMAL,No change (NORMAL),9.87397141378318e-07,23.14934927200534,8.167316887039295e-07,1.164455007653187e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
b57259b9-baab-4434-8077-35c0ed840a40,2026-06-17T09:43:37.477338+00:00,NORMAL,No change (NORMAL),3.6461186913524714e-06,24.21979496791109,2.856101689815901e-06,4.3028319186605464e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
3dcc5b97-d6ca-4f64-98f1-ea8dd7ba96c6,2026-06-17T09:43:37.477412+00:00,NORMAL,No change (NORMAL),2.851150616716977e-06,10.545713829904775,2.1724041961157917e-06,3.7956731068940128e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
35870bd8-02c7-4a74-a911-f6a05858d8ca,2026-06-17T09:43:37.477499+00:00,NORMAL,No change (NORMAL),1.0109217299953508e-06,3.2926854747493106,7.766967126374154e-07,1.3349949303938156e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
414371cb-7140-41f2-807d-13b5bdfd503e,2026-06-17T09:43:37.477574+00:00,NORMAL,No change (NORMAL),2.371530732875211e-06,2.6396582102305177,1.8563042991430212e-06,2.9069411736794545e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
406829c9-8b54-4dbf-891d-cacfcddfe7c6,2026-06-17T09:43:37.477646+00:00,NORMAL,No change (NORMAL),9.95987963840543e-06,0.3846101669257044,7.280420180234834e-06,1.293825039326463e-05,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
d3bbf95c-9d3f-44cc-855c-4af7ea241026,2026-06-17T09:43:37.477718+00:00,NORMAL,No change (NORMAL),6.74574672999688e-06,0.6459311710849673,4.978558138185197e-06,8.752259520845093e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
7826acd8-41f9-4397-971e-e36ced8581e5,2026-06-17T09:43:37.477790+00:00,NORMAL,No change (NORMAL),8.953658918441139e-05,1.0757535672821372,6.54545607292766e-05,0.00011765360573470596,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
b9c36f28-ce07-46da-9971-0e4507790b9b,2026-06-17T09:43:37.477861+00:00,NORMAL,No change (NORMAL),2.731990848152347e-05,0.2027390448487617,2.1683353681125147e-05,3.392861511639446e-05,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
271b914f-dde8-43d6-95c8-21240cfb70c5,2026-06-17T09:43:37.477934+00:00,NORMAL,No change (NORMAL),4.365183091224065e-06,3.363804549447575,3.6956553053904894e-06,5.00923257398835e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
4311f118-43fe-4c1e-8243-e0a0c226c430,2026-06-17T09:43:37.478005+00:00,NORMAL,No change (NORMAL),8.318828667302914e-06,0.362391192668797,7.191862247073754e-06,9.299788657909697e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
75a6e1cb-4810-48af-8cc9-6a6214e6b645,2026-06-17T09:43:37.478076+00:00,NORMAL,No change (NORMAL),1.043283155906691e-06,1.9509393868828377,8.390621455114882e-07,1.289173464004038e-06,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
967caf9e-19d8-4345-865f-ee08172c2877,2026-06-17T09:43:37.478147+00:00,NORMAL,No change (NORMAL),2.3912836219818173e-05,2.3066261387677613,1.9021446175695236e-05,2.7840369382412933e-05,Background archive,synthetic_proxy_replay,mvp-0.1,42e389559dc25f1c,962a88ad6fa51748,,,
